id,rep_id,customer_id,deal_name,stage,amount,probability,expected_close_date,product_category,quantity_estimate,competitor,loss_reason,notes
DEAL001,REP001,,未登録顧客 追加発注,提案中,2400000,35,2026-05-23,,200,Hanes,,未登録顧客との追加発注。
DEAL002,REP001,CUST027,クリエイティブラボ東京 定期発注Q2,リード,2400000,90,2026-11-01,ヘビーウェイトTシャツ,1000,,,クリエイティブラボ東京との定期発注Q2。
DEAL003,REP001,CUST002,プロモーションワークス株式会社 スポーツウェア,初回提案,5000000,30,2026-05-18,ポロシャツ,50000,,,プロモーションワークス株式会社とのスポーツウェア。
DEAL004,REP001,,未登録顧客 PB商品,失注,1200000,0,2025-10-10,Tシャツ・ポロシャツ,3000,Hanes,先方の予算縮小により案件自体が中止。,未登録顧客とのPB商品。
DEAL005,REP001,CUST001,株式会社東京ユニフォームサービス 下期ユニフォーム,受注,12000000,100,2025-02-10,ヘビーウェイトTシャツ,8000,ジャージーズ,,株式会社東京ユニフォームサービスとの下期ユニフォーム。大口案件。
DEAL006,REP001,CUST004,セレクトショップ URBAN STYLE 下期ユニフォーム,初回提案,3500000,90,2026-05-07,ドライTシャツ,2000,,,セレクトショップ URBAN STYLEとの下期ユニフォーム。
DEAL007,REP002,CUST005,埼玉県立総合教育センター スポーツウェア,初回提案,500000,60,2026-10-23,ドライTシャツ・ヘビーウェイトTシャツ,20000,,,埼玉県立総合教育センターとのスポーツウェア。
DEAL008,REP002,CUST025,関東学生陸上競技連盟 ユニフォーム,リード,1500000,40,2026-08-13,ポロシャツ,1000,,,関東学生陸上競技連盟とのユニフォーム。
DEAL009,REP002,,未登録顧客 ユニフォーム,リード,800000,35,2026-06-21,,8000,地元業者,,未登録顧客とのユニフォーム。
DEAL010,REP002,CUST005,埼玉県立総合教育センター 追加発注,受注,2800000,100,2025-12-16,ポロシャツ,3000,地元業者,,埼玉県立総合教育センターとの追加発注。
DEAL011,REP002,CUST025,関東学生陸上競技連盟 新規提案,リード,3500000,75,,ドライTシャツ・ヘビーウェイトTシャツ,1500,ジャージーズ,,関東学生陸上競技連盟との新規提案。
DEAL012,REP002,CUST005,埼玉県立総合教育センター PB商品,交渉中,12000000,20,2026-05-28,ポロシャツ,1500,ギルダン,,埼玉県立総合教育センターとのPB商品。大口案件。
DEAL013,REP002,,未登録顧客 イベント案件,見積提出,,,2026-06-04,ポロシャツ,15000,Hanes,,未登録顧客とのイベント案件。
DEAL014,REP003,CUST022,宇都宮フットサルリーグ 年間契約,失注,4500000,0,2025-08-13,ドライTシャツ,3000,,顧客の担当者異動により、新担当が既存取引先を優先。,宇都宮フットサルリーグとの年間契約。
DEAL015,REP003,CUST013,北海道観光振興機構 スポーツウェア,リード,,,,Tシャツ・ポロシャツ,20000,Hanes,,北海道観光振興機構とのスポーツウェア。
DEAL016,REP003,CUST022,宇都宮フットサルリーグ 年間契約,初回提案,,,2026-07-07,スウェット・パーカー,50000,ギルダン,,宇都宮フットサルリーグとの年間契約。
DEAL017,REP003,,未登録顧客 新規提案,受注,2800000,100,2025-05-08,Tシャツ・ポロシャツ,5000,地元業者,,未登録顧客との新規提案。
DEAL018,REP003,CUST003,湘南スポーツクラブ 夏季キャンペーン,見積提出,18000000,30,2026-04-26,,,Hanes,,湘南スポーツクラブとの夏季キャンペーン。大口案件。
DEAL019,REP003,CUST022,宇都宮フットサルリーグ 定期発注Q2,見積提出,8000000,20,2026-06-24,スウェット・パーカー,50000,,,宇都宮フットサルリーグとの定期発注Q2。
DEAL020,REP003,CUST022,宇都宮フットサルリーグ スポーツウェア,初回提案,3500000,40,2026-04-30,ヘビーウェイトTシャツ,,,,宇都宮フットサルリーグとのスポーツウェア。
DEAL021,REP004,,未登録顧客 年間契約,交渉中,1500000,30,2026-05-05,Tシャツ・ポロシャツ,15000,ギルダン,,未登録顧客との年間契約。
DEAL022,REP004,CUST024,札幌ラーメン街道協会 下期ユニフォーム,失注,3000000,0,2025-12-09,ポロシャツ,20000,地元業者,カラーバリエーションが先方の要望に合わなかった。,札幌ラーメン街道協会との下期ユニフォーム。
DEAL023,REP004,CUST014,株式会社横浜クリエイティブ 季節商品,リード,,,2026-05-22,ポロシャツ,1500,地元業者,,株式会社横浜クリエイティブとの季節商品。
DEAL024,REP004,CUST024,札幌ラーメン街道協会 新規提案,受注,1500000,100,2025-12-08,ポロシャツ,500,地元業者,,札幌ラーメン街道協会との新規提案。
DEAL025,REP004,,未登録顧客 ユニフォーム,リード,18000000,35,2026-08-18,ドライTシャツ・ヘビーウェイトTシャツ,2000,,,未登録顧客とのユニフォーム。大口案件。
DEAL026,REP004,CUST014,株式会社横浜クリエイティブ ユニフォーム,リード,,,2026-04-23,ポロシャツ,8000,,,株式会社横浜クリエイティブとのユニフォーム。
DEAL027,REP004,CUST014,株式会社横浜クリエイティブ 季節商品,リード,1500000,75,2026-04-19,ドライTシャツ,,トムス,,株式会社横浜クリエイティブとの季節商品。
DEAL028,REP005,CUST008,大阪プロモーションセンター 新規提案,受注,18000000,100,2026-02-04,スウェット・パーカー,50000,Hanes,,大阪プロモーションセンターとの新規提案。大口案件。
DEAL029,REP005,CUST008,大阪プロモーションセンター 夏季キャンペーン,失注,1200000,0,2025-04-02,スウェット・パーカー,50000,Hanes,カラーバリエーションが先方の要望に合わなかった。,大阪プロモーションセンターとの夏季キャンペーン。
DEAL030,REP005,CUST007,関西フードサービス株式会社 リニューアル案件,提案中,,,2026-07-23,ドライTシャツ,20000,,,関西フードサービス株式会社とのリニューアル案件。
