id,company_name,industry,segment,region,annual_revenue_estimate,primary_contact,primary_contact_title,relationship_since,notes
CUST001,株式会社東京ユニフォームサービス,ユニフォーム・制服,企業制服,東京都,85000000,森田 浩二,購買部長,2019-06-15,大手企業の社員制服を一括納入。年間10万枚以上の発注実績あり。
CUST002,プロモーションワークス株式会社,イベント・販促,イベント・プロモーション,東京都,42000000,石川 真理,営業企画部マネージャー,2020-03-01,企業イベント・展示会向けのオリジナルTシャツ制作を多数手掛ける。
CUST003,湘南スポーツクラブ,スポーツ,スポーツチーム,神奈川県,15000000,藤井 健太,運営部長,2021-01-10,地域密着型スポーツクラブ。約30チームのウェア供給。
CUST004,セレクトショップ URBAN STYLE,小売,小売・セレクトショップ,東京都,28000000,西村 彩香,バイヤー,2022-05-20,トレンド感のある無地Tシャツ中心のセレクト。ヘビーウェイト人気。
CUST005,埼玉県立総合教育センター,教育,官公庁・学校,埼玉県,12000000,木村 正,事務局長,2020-09-01,県内複数校向けに体操服・イベントTシャツを供給。入札案件が多い。
CUST006,プリントスター株式会社,プリント・EC,EC・プリント事業者,千葉県,65000000,松本 大地,代表取締役,2018-04-01,オンデマンドプリント事業者。無地ボディの大量仕入れが主。
CUST007,関西フードサービス株式会社,飲食・サービス,企業制服,大阪府,38000000,吉田 裕子,総務部課長,2019-11-15,飲食チェーン約80店舗のスタッフユニフォーム。
CUST008,大阪プロモーションセンター,イベント・販促,イベント・プロモーション,大阪府,32000000,岡田 智也,企画ディレクター,2021-07-01,関西圏の大型イベント・フェスのグッズ制作。
CUST009,京都織物工業株式会社,繊維・製造,小売・セレクトショップ,京都府,22000000,井上 和夫,商品企画部長,2020-02-15,和テイスト×ストリートのアパレルブランド展開。
CUST010,中国地方建設業協同組合,建設,企業制服,広島県,18000000,山田 勝,事務局次長,2022-01-10,組合加盟企業向け作業着・安全ベスト・Tシャツ供給。
CUST011,九州スポーツアカデミー,スポーツ・教育,スポーツチーム,福岡県,20000000,原田 大介,アカデミー長,2021-04-01,サッカー・野球・バスケのアカデミー。年間契約。
CUST012,デジタルプリントジャパン株式会社,プリント・EC,EC・プリント事業者,大阪府,55000000,村上 恵美,仕入部長,2019-08-01,DTF・DTGプリント専門。全国のクリエイター向けサービス。
CUST013,北海道観光振興機構,観光・自治体,官公庁・学校,北海道,8000000,佐々木 誠一,企画課主任,2023-03-01,観光プロモーション用オリジナルグッズ制作。
CUST014,株式会社横浜クリエイティブ,デザイン・クリエイティブ,EC・プリント事業者,神奈川県,18000000,川口 美穂,プロダクションマネージャー,2022-09-15,アーティスト・バンドのオフィシャルグッズ制作。
CUST015,四国メディカルサプライ株式会社,医療・介護,企業制服,愛媛県,25000000,三浦 健二,営業部長,2021-06-01,病院・介護施設のスタッフウェア。
CUST016,株式会社名古屋テキスタイル,アパレル,小売・セレクトショップ,愛知県,35000000,近藤 裕也,MD部長,2020-08-01,名古屋圏のセレクトショップ5店舗を展開。無地ボディのPB展開に積極的。
CUST017,株式会社アスリートワン,スポーツ,スポーツチーム,東京都,30000000,谷口 翔,商品企画リーダー,2019-05-15,実業団・社会人スポーツチーム向けウェアの企画販売。年間5万枚。
CUST018,グラフィックプリント北関東,プリント・EC,EC・プリント事業者,群馬県,20000000,関根 太一,工場長,2021-11-01,シルクスクリーンプリント中心。地元企業のノベルティ制作。
CUST019,東北自動車販売協会,自動車,企業制服,宮城県,15000000,阿部 和彦,総務委員長,2023-01-15,加盟ディーラーのスタッフポロシャツ統一化プロジェクト。
CUST020,株式会社沖縄リゾートマネジメント,ホテル・観光,企業制服,沖縄県,12000000,上原 明,購買担当,2024-02-01,リゾートホテル3施設のスタッフカジュアルユニフォーム。
CUST021,新潟県温泉旅館組合,観光・宿泊,官公庁・学校,新潟県,6000000,斎藤 正夫,事務局長,2024-04-01,組合加盟旅館のお土産・スタッフTシャツ。
CUST022,宇都宮フットサルリーグ,スポーツ,スポーツチーム,栃木県,5000000,石原 拓也,事務局長,2024-05-01,リーグ統一ウェア導入検討中。20チーム参加。
CUST023,テクノロジーパーク株式会社,IT,企業制服,東京都,45000000,橋本 隆,人事総務部長,2022-07-01,IT企業のカジュアルオフィスウェア。社員2000名規模。
CUST024,札幌ラーメン街道協会,飲食,企業制服,北海道,8000000,田村 誠,会長,2023-09-01,加盟ラーメン店50店舗のスタッフTシャツ。
CUST025,関東学生陸上競技連盟,スポーツ・教育,スポーツチーム,東京都,10000000,久保田 修,事務局次長,2021-03-01,大学駅伝・陸上大会の公式ウェア。ドライ素材必須。
CUST026,西日本物流株式会社,物流,企業制服,兵庫県,22000000,佐野 正義,管理部長,2020-06-15,物流センタースタッフ約500名のユニフォーム。蛍光ベスト含む。
CUST027,クリエイティブラボ東京,デザイン,EC・プリント事業者,東京都,25000000,松田 あゆみ,クリエイティブディレクター,2022-04-01,アパレルブランドのOEM・ODM。デザイナーズブランド複数展開。
CUST028,神戸市スポーツ振興協会,自治体,官公庁・学校,兵庫県,9000000,遠藤 健次,事業課長,2023-04-01,市民スポーツ大会、マラソン大会の参加者Tシャツ。
CUST029,株式会社福岡ワーカーズ,人材・派遣,企業制服,福岡県,16000000,中島 大樹,業務管理部長,2022-10-01,派遣スタッフ向けユニフォーム。多業種対応で色分け必要。
CUST030,岡山デニムストリート,アパレル,小売・セレクトショップ,岡山県,14000000,武田 一郎,店長,2023-06-01,岡山デニムとのコラボ商品を展開。無地ボディへのプリント加工。
